seed,frame,n_obs,n_ang_cells,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg
83,1466,134,3640,0.10777922755707345,0.05633186730958562,105.27218826116786,0.08032827146544577,0.06584540181195062,61.19443902323691
84,1286,126,3666,0.10357309070578571,0.028811412557716506,68.18585660088719,0.02800889373733273,0.025479125787504872,9.095727209405599
85,1399,114,3529,0.18137627663643874,0.1690816695758182,88.55984499045992,0.09406156489982846,0.09839808582473522,25.93576684323671
86,1882,122,3639,0.13002672321497047,0.108706531996264,53.67217417174953,0.06687899397777856,0.06096682989387094,25.86343955235498
87,1209,114,3260,0.06027537459188867,0.04860829152254199,67.8416515361122,0.13081414790983995,0.0352284482928198,136.349278463478
88,984,146,3613,0.1149173192881637,0.042199997355961964,84.71272337108947,0.04317442269148404,0.0376351870415244,25.525347514173003
89,1686,122,3698,0.10926127174396044,0.09656050473079969,73.10194552323946,0.037823515845581315,0.027968526295323627,13.08783495942292
90,1288,139,3699,0.11158812262556914,0.05184883397558619,42.16723338390409,0.04644660305137348,0.03973820823948164,11.298064073947712
91,1444,109,3452,0.062413295128402525,0.042966366194855894,94.69036378454228,0.07389268987820781,0.06291346189540456,45.2416143510281
92,882,144,3201,0.04406206895117514,0.031120669638641962,45.807179061105266,0.029520895927678106,0.01826866699787476,36.97132187801191
93,1877,109,3578,0.26771439722936013,0.26669722334256485,84.3523617298773,0.19039766318802884,0.21098071065111298,23.285584899381035
94,87,140,3164,0.05123270879725656,0.04164994322507867,55.818267602842354,0.040976492371182865,0.03768583989734656,23.874013772610105
95,883,147,3020,0.04484710749862861,0.025549350881631988,68.88770992187072,0.055410485595787325,0.03307394790048494,66.03466885503926
96,1625,130,3612,0.056424052845437896,0.04294960831139553,46.637788039181686,0.03728269362881513,0.027874410039127537,27.178350677437507
97,270,139,3517,0.10762574174482448,0.10490539722799153,32.628386668462575,0.027412231823251046,0.020840457015940624,14.730517571949942
98,657,130,3665,0.10031041158507176,0.03429404891061332,58.22373143151496,0.05221627820378154,0.03414074490207148,31.571979870865228
99,1882,131,3639,0.11485485150507702,0.09070655512048463,48.267355075537566,0.054934561510494306,0.04273925515239147,27.931971347224902
